speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,vernacularNameEl,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory
2384936,Lutjanus johnii,1268,Golden Snapper,,,,,,Bony fish,LC
2388150,Epinephelus multinotatus,1265,Rankin Cod,,Ροφός Ινδικού,,,,Bony fish,LC
2418774,Hemigaleus australiensis,1223,Australian Weasel Shark,,,,,,Sharks & Rays,LC
2418259,Galeorhinus galeus,1217,School Shark,,Γαλέος,,,,Sharks & Rays,CR
2417450,Stegostoma fasciatum,1165,Zebra Shark,,Καρχαρίας ζέβρα,,,,Sharks & Rays,NT
9301034,Hemitrygon fluviorum,1146,Estuary Stingray,,,,,,Sharks & Rays,VU
9328654,Pateobatis fai,1090,Pink Whipray,,,,,,Sharks & Rays,VU
2359706,Rutilus rutilus,1037,Common Roach,,Τσιρόνι,https://inaturalist-open-data.s3.amazonaws.com/photos/523855041/medium.jpg,https://www.inaturalist.org/observations/291170776,michal_michlewicz,Bony fish,LC
2417495,Ginglymostoma cirratum,1035,Nurse Shark,,Καρχαρίας τροφός,https://inaturalist-open-data.s3.amazonaws.com/photos/439764980/medium.jpeg,https://www.inaturalist.org/observations/246346292,CONANP_Reserva de la Biosfera Banco Chinchorro,Sharks & Rays,VU
9400747,Pateobatis jenkinsii,998,Jenkins' Whipray,,,,,,Sharks & Rays,
2393382,Eleutheronema tetradactylum,993,Fourfinger Threadfin,,,,,,Bony fish,
2481741,Calidris ferruginea,962,Curlew Sandpiper,,Δρεπανοσκαλίδρα,,,,Birds,
9716608,Hydrophis hardwickii,845,Hardwicke’s Spine-bellied Sea Snake,,,,,,Reptiles,
5216276,Pristis pristis,838,Common Sawfish,,Πρίστης μικρόδοντος,,,,Sharks & Rays,
2391331,Gnathanodon speciosus,820,Golden Trevally,,Χρυσό τρεβάλι,,,,Bony fish,
2374255,Scomberomorus commerson,809,Narrow-banded Spanish Mackerel,,Ταινιοπαλαμίδα,,,,Bony fish,
2389100,Variola louti,795,,,,,,,,
2417522,Rhincodon typus,784,,,Φαλαινοκαρχαρίας,,,,,
2374866,Lethrinus atkinsoni,757,,,,,,,,
9298603,Maculabatis astra,633,,,,,,,,
2417964,Carcharhinus galapagensis,580,,,Καρχαρίας των Γκαλαπάγκος,,,,,
2434584,Cerdocyon thous,559,Crab-eating Fox,,Καβουροφάγα αλεπού,,,,Terrestrial mammals,
2225562,Scylla serrata,544,,,,,,,,
2391092,Lichia amia,496,Leerfish,,Λίτζα,https://inaturalist-open-data.s3.amazonaws.com/photos/190268220/medium.jpg,https://www.inaturalist.org/observations/112637919,Roberto Pillon,Bony fish,LC
5711980,Oncorhynchus clarkii,493,Coastal Cutthroat Trout,,Αμερικανική πρασινόρραχη πέστροφα,https://inaturalist-open-data.s3.amazonaws.com/photos/5295841/medium.jpeg,https://www.inaturalist.org/observations/4408188,Justin Garwood,Bony fish,LC
5211134,Chlorurus sordidus,492,,,,,,,,
4284020,Salvelinus malma,460,Dolly Varden,,Σαλβελίνος του Ειρηνικού,https://inaturalist-open-data.s3.amazonaws.com/photos/106187399/medium.jpg,https://www.inaturalist.org/observations/65925069,Ashley M Bradford,Bony fish,LC
5201387,Platycephalus bassensis,448,,,,,,,,
2418184,Carcharhinus sorrah,435,,,,,,,,
2481458,Pterodroma cervicalis,430,White-necked Petrel,,,,,,Birds,
2418939,Rhynchobatus laevis,430,,,,,,,,
2381939,Coryphaena hippurus,393,,,Κυνηγός,,,,,
9245001,Hypanus sabinus,388,Atlantic Stingray,,,https://inaturalist-open-data.s3.amazonaws.com/photos/111421489/medium.jpg,https://www.inaturalist.org/observations/68761309,Dylan Jacques-Fero,Sharks & Rays,LC
2440735,Balaenoptera musculus,386,Blue Whale,,Γαλάζια φάλαινα,,,,Marine mammals,
5960332,Hydrophis elegans,358,,,,,,,,
5215568,Loxodon macrorhinus,322,,,,,,,,
5789284,Onychoprion fuscatus,310,Sooty Tern,,Δρεπανίδα,,,,Birds,
2418633,Cephaloscyllium laticeps,299,,,,,,,,
2418312,Mustelus canis,284,Dusky Smooth-Hound,,,https://inaturalist-open-data.s3.amazonaws.com/photos/77336365/medium.jpg,https://www.inaturalist.org/observations/48730813,Phil Colarusso,Sharks & Rays,NT
2440605,Globicephala macrorhynchus,277,Short-finned Pilot Whale,,Τροπικό μαυροδέλφινο,https://inaturalist-open-data.s3.amazonaws.com/photos/159806977/medium.jpeg,https://www.inaturalist.org/observations/96210120,dnoby,Marine mammals,LC
